7	337.50	13.85	13.85	3.18	0.45	-0.45	-0.69	-0.77	-0.73	-0.63	-0.54	-0.42	-0.25	-0.07	0.07	0.23	0.32	0.35	0.36	0.33	0.31	0.21	0.08	0.00	0.12	0.22	0.31	0.41	0.43	0.45	0.46	0.42	0.34	0.27	0.17	0.12	0.01	-0.05	-0.10	-0.12	0.06	0.36	1.33	4.27	15.80	15.80
8	340.00	13.87	13.87	3.20	0.46	-0.44	-0.69	-0.76	-0.72	-0.62	-0.52	-0.41	-0.25	-0.07	0.07	0.23	0.31	0.36	0.36	0.33	0.31	0.20	0.07	0.00	0.11	0.22	0.31	0.41	0.43	0.45	0.46	0.42	0.34	0.27	0.17	0.13	0.02	-0.04	-0.09	-0.10	0.08	0.37	1.32	4.31	15.82	15.82
9	342.50	13.92	13.92	3.23	0.46	-0.44	-0.68	-0.75	-0.72	-0.61	-0.53	-0.40	-0.24	-0.07	0.07	0.23	0.31	0.36	0.36	0.33	0.30	0.19	0.07	0.00	0.11	0.22	0.31	0.41	0.42	0.45	0.46	0.42	0.34	0.26	0.17	0.14	0.03	-0.03	-0.07	-0.09	0.10	0.38	1.34	4.34	15.82	15.82
10	345.00	13.97	13.97	3.28	0.51	-0.39	-0.64	-0.73	-0.71	-0.61	-0.52	-0.39	-0.24	-0.07	0.08	0.24	0.31	0.36	0.36	0.33	0.30	0.20	0.07	0.00	0.12	0.23	0.31	0.40	0.43	0.46	0.46	0.42	0.34	0.26	0.18	0.14	0.04	-0.02	-0.06	-0.07	0.11	0.39	1.39	4.34	15.87	15.87
11	347.50	13.98	13.98	3.30	0.52	-0.39	-0.64	-0.72	-0.70	-0.61	-0.52	-0.40	-0.24	-0.07	0.08	0.24	0.31	0.35	0.36	0.33	0.30	0.20	0.07	0.00	0.11	0.22	0.30	0.40	0.43	0.45	0.45	0.42	0.34	0.27	0.18	0.13	0.04	-0.02	-0.06	-0.06	0.11	0.42	1.42	4.39	15.91	15.91
12	350.00	13.99	13.99	3.31	0.53	-0.39	-0.63	-0.72	-0.70	-0.61	-0.52	-0.40	-0.24	-0.07	0.07	0.23	0.30	0.35	0.35	0.32	0.30	0.20	0.07	0.00	0.11	0.22	0.30	0.40	0.43	0.45	0.45	0.41	0.34	0.27	0.18	0.14	0.04	-0.02	-0.06	-0.05	0.12	0.44	1.43	4.42	15.94	15.94
13	352.50	13.98	13.98	3.32	0.55	-0.37	-0.61	-0.71	-0.70	-0.61	-0.52	-0.40	-0.24	-0.07	0.08	0.22	0.30	0.35	0.35	0.33	0.30	0.20	0.07	0.00	0.11	0.22	0.30	0.40	0.43	0.44	0.45	0.42	0.34	0.26	0.18	0.14	0.04	-0.02	-0.05	-0.05	0.14	0.45	1.42	4.42	15.94	15.94
14	355.00	13.97	13.97	3.30	0.56	-0.37	-0.61	-0.71	-0.70	-0.60	-0.51	-0.40	-0.24	-0.08	0.07	0.23	0.31	0.35	0.35	0.33	0.29	0.20	0.07	0.00	0.11	0.22	0.30	0.40	0.42	0.44	0.44	0.42	0.34	0.26	0.18	0.13	0.03	-0.02	-0.05	-0.05	0.14	0.46	1.43	4.43	15.94	15.94
15	357.50	13.97	13.97	3.31	0.55	-0.36	-0.60	-0.71	-0.69	-0.60	-0.51	-0.40	-0.24	-0.08	0.07	0.23	0.30	0.34	0.35	0.33	0.29	0.20	0.07	0.00	0.11	0.22	0.30	0.40	0.42	0.44	0.44	0.42	0.33	0.27	0.18	0.14	0.04	-0.01	-0.04	-0.04	0.16	0.46	1.45	4.45	15.95	15.95
16	360.00	13.97	13.97	3.32	0.55	-0.35	-0.60	-0.70	-0.68	-0.60	-0.51	-0.39	-0.24	-0.08	0.07	0.22	0.30	0.34	0.35	0.33	0.29	0.20	0.07	0.00	0.11	0.22	0.30	0.40	0.42	0.44	0.44	0.41	0.33	0.26	0.18	0.14	0.04	-0.01	-0.04	-0.03	0.17	0.47	1.46	4.45	15.93	15.93
17	362.50	13.95	13.95	3.32	0.56	-0.34	-0.59	-0.69	-0.68	-0.60	-0.51	-0.40	-0.24	-0.08	0.07	0.22	0.30	0.33	0.34	0.32	0.29	0.20	0.07	0.00	0.11	0.22	0.31	0.39	0.42	0.44	0.44	0.41	0.33	0.26	0.18	0.14	0.04	-0.00	-0.03	-0.03	0.18	0.48	1.46	4.46	15.92	15.92
18	365.00	13.97	13.97	3.31	0.57	-0.33	-0.59	-0.68	-0.67	-0.60	-0.51	-0.39	-0.25	-0.08	0.07	0.22	0.30	0.34	0.34	0.32	0.28	0.19	0.07	0.00	0.11	0.21	0.30	0.39	0.42	0.44	0.44	0.40	0.33	0.26	0.17	0.13	0.04	-0.01	-0.02	-0.02	0.17	0.48	1.48	4.47	15.96	15.96
19	367.50	13.99	13.99	3.33	0.60	-0.32	-0.57	-0.67	-0.66	-0.59	-0.50	-0.39	-0.24	-0.08	0.06	0.22	0.30	0.34	0.34	0.32	0.29	0.20	0.07	0.00	0.11	0.22	0.30	0.39	0.42	0.44	0.44	0.41	0.33	0.26	0.18	0.14	0.05	0.00	-0.01	-0.01	0.19	0.50	1.51	4.47	15.98	15.98
20	370.00	14.00	14.00	3.35	0.62	-0.30	-0.56	-0.66	-0.65	-0.58	-0.50	-0.38	-0.23	-0.07	0.07	0.22	0.30	0.34	0.35	0.33	0.29	0.20	0.07	0.00	0.11	0.22	0.30	0.39	0.42	0.44	0.44	0.41	0.33	0.27	0.18	0.14	0.06	0.01	-0.00	0.01	0.21	0.53	1.53	4.49	16.00	16.00
21	372.50	14.01	14.01	3.36	0.65	-0.29	-0.55	-0.64	-0.64	-0.57	-0.49	-0.37	-0.23	-0.07	0.07	0.22	0.30	0.34	0.35	0.33	0.29	0.20	0.07	0.00	0.11	0.22	0.30	0.39	0.42	0.44	0.44	0.41	0.34	0.27	0.19	0.15	0.06	0.02	0.01	0.02	0.23	0.54	1.56	4.52	16.03	16.03
22	375.00	14.06	14.06	3.38	0.67	-0.25	-0.52	-0.62	-0.63	-0.56	-0.48	-0.36	-0.22	-0.06	0.08	0.22	0.30	0.34	0.35	0.33	0.29	0.20	0.07	0.00	0.11	0.22	0.31	0.39	0.43	0.44	0.45	0.42	0.34	0.28	0.20	0.17	0.07	0.04	0.03	0.04	0.25	0.57	1.59	4.56	16.07	16.07
23	377.50	14.09	14.09	3.44	0.71	-0.23	-0.49	-0.60	-0.61	-0.54	-0.47	-0.36	-0.21	-0.06	0.08	0.23	0.31	0.35	0.35	0.33	0.29	0.20	0.07	0.00	0.11	0.22	0.31	0.39	0.43	0.45	0.45	0.42	0.34	0.29	0.21	0.17	0.09	0.05	0.05	0.07	0.28	0.61	1.63	4.59	16.13	16.13
24	380.00	14.16	14.16	3.49	0.76	-0.20	-0.46	-0.58	-0.58	-0.53	-0.45	-0.34	-0.20	-0.05	0.09	0.23	0.31	0.35	0.35	0.33	0.29	0.19	0.07	0.00	0.10	0.22	0.31	0.39	0.43	0.45	0.45	0.42	0.35	0.29	0.22	0.19	0.10	0.07	0.07	0.09	0.30	0.64	1.67	4.64	16.19	16.19
25	382.50	14.23	14.23	3.54	0.80	-0.17	-0.43	-0.56	-0.57	-0.51	-0.43	-0.33	-0.20	-0.04	0.09	0.24	0.32	0.35	0.35	0.33	0.29	0.19	0.07	0.00	0.10	0.22	0.31	0.39	0.43	0.45	0.46	0.43	0.36	0.30	0.22	0.20	0.12	0.09	0.09	0.12	0.34	0.68	1.70	4.68	16.25	16.25
26	385.00	14.30	14.30	3.59	0.85	-0.13	-0.41	-0.53	-0.55	-0.49	-0.41	-0.32	-0.18	-0.03	0.10	0.25	0.32	0.35	0.36	0.33	0.29	0.20	0.07	0.00	0.10	0.21	0.31	0.39	0.43	0.45	0.46	0.44	0.37	0.31	0.23	0.21	0.13	0.10	0.11	0.14	0.36	0.70	1.74	4.72	16.30	16.30
27	387.50	14.39	14.39	3.64	0.89	-0.10	-0.38	-0.51	-0.53	-0.47	-0.40	-0.30	-0.17	-0.02	0.11	0.25	0.32	0.36	0.36	0.34	0.29	0.20	0.07	0.00	0.10	0.21	0.31	0.39	0.44	0.46	0.47	0.44	0.37	0.32	0.24	0.22	0.15	0.12	0.13	0.17	0.39	0.73	1.79	4.77	16.40	16.40
28	390.00	14.45	14.45	3.68	0.92	-0.07	-0.36	-0.48	-0.51	-0.45	-0.39	-0.29	-0.16	-0.01	0.12	0.26	0.33	0.36	0.36	0.34	0.29	0.20	0.07	0.00	0.10	0.22	0.31	0.40	0.44	0.46	0.47	0.45	0.38	0.33	0.26	0.23	0.16	0.14	0.15	0.19	0.41	0.77	1.83	4.81	16.45	16.45
29	392.50	14.50	14.50	3.72	0.96	-0.05	-0.33	-0.46	-0.49	-0.44	-0.38	-0.28	-0.15	-0.00	0.12	0.26	0.33	0.36	0.37	0.34	0.29	0.20	0.07	0.00	0.10	0.22	0.31	0.40	0.45	0.46	0.48	0.45	0.38	0.34	0.27	0.24	0.18	0.15	0.17	0.21	0.44	0.79	1.85	4.86	16.47	16.47
30	395.00	14.52	14.52	3.76	0.99	-0.02	-0.31	-0.44	-0.48	-0.43	-0.37	-0.27	-0.14	0.00	0.12	0.26	0.33	0.37	0.37	0.34	0.29	0.20	0.07	0.00	0.10	0.22	0.31	0.40	0.45	0.47	0.48	0.46	0.39	0.34	0.27	0.25	0.19	0.17	0.18	0.23	0.46	0.82	1.89	4.91	16.53	16.53
31	397.50	14.57	14.57	3.80	1.03	0.00	-0.29	-0.42	-0.46	-0.42	-0.35	-0.26	-0.14	0.01	0.13	0.27	0.34	0.37	0.37	0.34	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.40	0.45	0.47	0.48	0.46	0.39	0.35	0.28	0.26	0.20	0.18	0.20	0.25	0.48	0.84	1.92	4.94	16.58	16.58
32	400.00	14.63	14.63	3.84	1.06	0.03	-0.27	-0.40	-0.44	-0.40	-0.34	-0.25	-0.13	0.01	0.14	0.27	0.34	0.37	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.40	0.45	0.48	0.49	0.47	0.40	0.36	0.29	0.27	0.21	0.19	0.22	0.27	0.51	0.87	1.96	4.98	16.63	16.63
33	402.50	14.69	14.69	3.88	1.09	0.06	-0.25	-0.38	-0.42	-0.38	-0.33	-0.24	-0.12	0.02	0.15	0.28	0.35	0.38	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.40	0.46	0.48	0.49	0.47	0.41	0.37	0.30	0.28	0.22	0.21	0.24	0.29	0.53	0.90	2.00	5.01	16.70	16.70
34	405.00	14.75	14.75	3.92	1.12	0.08	-0.23	-0.37	-0.41	-0.38	-0.32	-0.23	-0.11	0.03	0.15	0.29	0.35	0.38	0.38	0.35	0.30	0.20	0.07	0.00	0.10	0.22	0.32	0.41	0.46	0.48	0.49	0.48	0.42	0.37	0.30	0.29	0.23	0.22	0.25	0.31	0.55	0.91	2.02	5.06	16.74	16.74
35	407.50	14.79	14.79	3.95	1.14	0.10	-0.21	-0.35	-0.40	-0.37	-0.31	-0.23	-0.11	0.03	0.15	0.29	0.35	0.38	0.38	0.35	0.30	0.20	0.07	0.00	0.10	0.22	0.32	0.41	0.46	0.48	0.49	0.48	0.42	0.37	0.30	0.29	0.24	0.23	0.26	0.32	0.56	0.93	2.04	5.09	16.76	16.76
36	410.00	14.81	14.81	3.98	1.16	0.11	-0.20	-0.34	-0.39	-0.36	-0.31	-0.22	-0.10	0.03	0.16	0.29	0.35	0.38	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.40	0.46	0.48	0.49	0.48	0.42	0.38	0.31	0.30	0.24	0.23	0.27	0.33	0.57	0.94	2.06	5.11	16.80	16.80
37	412.50	14.83	14.83	4.00	1.18	0.12	-0.19	-0.33	-0.38	-0.35	-0.30	-0.22	-0.10	0.03	0.16	0.29	0.35	0.38	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.40	0.46	0.48	0.50	0.48	0.42	0.38	0.31	0.30	0.25	0.24	0.28	0.34	0.59	0.96	2.08	5.14	16.82	16.82
38	415.00	14.85	14.85	4.02	1.20	0.14	-0.17	-0.32	-0.37	-0.35	-0.30	-0.21	-0.10	0.04	0.16	0.29	0.35	0.38	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.40	0.46	0.48	0.50	0.48	0.42	0.39	0.31	0.31	0.26	0.25	0.29	0.35	0.60	0.98	2.10	5.16	16.84	16.84
39	417.50	14.87	14.87	4.04	1.21	0.15	-0.16	-0.31	-0.37	-0.34	-0.29	-0.21	-0.10	0.04	0.16	0.29	0.35	0.38	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.41	0.46	0.48	0.50	0.48	0.42	0.38	0.31	0.31	0.26	0.26	0.29	0.36	0.61	0.98	2.11	5.17	16.85	16.85
40	420.00	14.86	14.86	4.04	1.22	0.16	-0.16	-0.31	-0.36	-0.34	-0.28	-0.21	-0.10	0.04	0.16	0.29	0.35	0.38	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.41	0.46	0.48	0.50	0.48	0.42	0.38	0.32	0.31	0.26	0.26	0.30	0.37	0.62	0.99	2.12	5.18	16.86	16.86
41	422.50	14.86	14.86	4.04	1.23	0.16	-0.15	-0.30	-0.36	-0.33	-0.28	-0.21	-0.10	0.04	0.16	0.29	0.35	0.38	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.32	0.40	0.46	0.48	0.49	0.48	0.42	0.38	0.32	0.31	0.26	0.26	0.30	0.38	0.62	1.00	2.14	5.20	16.86	16.86
42	425.00	14.87	14.87	4.06	1.24	0.17	-0.14	-0.30	-0.35	-0.33	-0.28	-0.21	-0.10	0.04	0.16	0.29	0.35	0.37	0.38	0.35	0.29	0.20	0.07	0.00	0.10	0.22	0.31	0.40	0.45	0.48	0.49	0.48	0.42	0.38	0.31	0.31	0.27	0.27	0.31	0.39	0.63	1.01	2.15	5.22	16.89	16.89
43	427.50	14.86	14.86	4.07	1.25	0.18	-0.14	-0.29	-0.35	-0.33	-0.28	-0.21	-0.10	0.04	0.15	0.28	0.35	0.37	0.38	0.34	0.29	0.20	0.07	0.00	0.10	0.21	0.31	0.40	0.45	0.48	0.49	0.48	0.42	0.38	0.31	0.31	0.27	0.27	0.31	0.39	0.64	1.01	2.16	5.22	16.89	16.89
44	430.00	14.85	14.85	4.07	1.25	0.18	-0.14	-0.29	-0.35	-0.33	-0.28	-0.21	-0.10	0.03	0.15	0.28	0.34	0.37	0.38	0.34	0.28	0.20	0.07	0.00	0.10	0.21	0.31	0.40	0.45	0.47	0.49	0.48	0.42	0.38	0.31	0.31	0.27	0.27	0.32	0.39	0.64	1.02	2.16	5.23	16.89	16.89
45	432.50	14.85	14.85	4.07	1.26	0.18	-0.13	-0.29	-0.34	-0.33	-0.28	-0.21	-0.10	0.03	0.15	0.28	0.34	0.37	0.38	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.40	0.45	0.47	0.49	0.47	0.41	0.38	0.31	0.31	0.27	0.27	0.32	0.40	0.65	1.03	2.17	5.24	16.88	16.88
46	435.00	14.83	14.83	4.06	1.26	0.18	-0.13	-0.28	-0.34	-0.33	-0.28	-0.21	-0.10	0.03	0.15	0.28	0.33	0.36	0.37	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.45	0.47	0.48	0.47	0.41	0.38	0.31	0.31	0.27	0.27	0.32	0.40	0.65	1.03	2.17	5.23	16.88	16.88
47	437.50	14.81	14.81	4.06	1.26	0.18	-0.13	-0.28	-0.34	-0.33	-0.28	-0.21	-0.10	0.03	0.15	0.27	0.33	0.36	0.37	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.44	0.47	0.48	0.47	0.41	0.38	0.31	0.31	0.27	0.28	0.32	0.40	0.65	1.03	2.18	5.23	16.87	16.87
48	440.00	14.81	14.81	4.06	1.26	0.19	-0.12	-0.28	-0.33	-0.32	-0.27	-0.21	-0.10	0.03	0.15	0.28	0.33	0.36	0.37	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.44	0.47	0.48	0.47	0.41	0.38	0.31	0.31	0.27	0.28	0.33	0.41	0.66	1.04	2.19	5.24	16.87	16.87
49	442.50	14.84	14.84	4.08	1.28	0.21	-0.11	-0.26	-0.32	-0.31	-0.27	-0.20	-0.09	0.03	0.15	0.28	0.34	0.36	0.37	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.40	0.45	0.47	0.49	0.48	0.42	0.38	0.32	0.32	0.28	0.29	0.34	0.43	0.68	1.06	2.21	5.26	16.90	16.90
50	445.00	14.87	14.87	4.10	1.30	0.23	-0.09	-0.25	-0.31	-0.30	-0.26	-0.20	-0.09	0.04	0.15	0.28	0.34	0.37	0.37	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.45	0.47	0.49	0.48	0.42	0.39	0.32	0.32	0.29	0.30	0.35	0.44	0.69	1.07	2.23	5.28	16.94	16.94
51	447.50	14.84	14.84	4.08	1.29	0.23	-0.09	-0.25	-0.31	-0.31	-0.26	-0.20	-0.09	0.03	0.15	0.28	0.34	0.36	0.37	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.45	0.47	0.48	0.47	0.42	0.38	0.32	0.32	0.29	0.30	0.35	0.44	0.70	1.07	2.23	5.27	16.92	16.92
52	450.00	14.81	14.81	4.07	1.29	0.23	-0.09	-0.25	-0.31	-0.31	-0.26	-0.20	-0.10	0.03	0.15	0.27	0.33	0.36	0.37	0.33	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.45	0.47	0.48	0.47	0.42	0.38	0.31	0.32	0.29	0.30	0.35	0.44	0.70	1.07	2.22	5.27	16.90	16.90
53	452.50	14.82	14.82	4.07	1.30	0.23	-0.08	-0.24	-0.30	-0.30	-0.26	-0.20	-0.09	0.03	0.15	0.28	0.33	0.36	0.37	0.33	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.45	0.47	0.49	0.48	0.42	0.38	0.32	0.32	0.29	0.31	0.36	0.46	0.71	1.09	2.24	5.28	16.93	16.93
54	455.00	14.89	14.89	4.12	1.34	0.26	-0.06	-0.22	-0.29	-0.28	-0.24	-0.18	-0.08	0.04	0.16	0.28	0.34	0.37	0.37	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.40	0.45	0.47	0.49	0.48	0.43	0.39	0.33	0.33	0.31	0.33	0.38	0.48	0.73	1.11	2.28	5.32	16.99	16.99
55	457.50	14.94	14.94	4.14	1.36	0.28	-0.04	-0.20	-0.27	-0.27	-0.23	-0.17	-0.07	0.05	0.16	0.29	0.34	0.37	0.38	0.34	0.28	0.20	0.07	0.00	0.10	0.21	0.31	0.40	0.45	0.48	0.49	0.49	0.43	0.40	0.34	0.34	0.32	0.34	0.39	0.49	0.75	1.13	2.30	5.35	17.04	17.04
56	460.00	14.96	14.96	4.16	1.38	0.30	-0.02	-0.19	-0.26	-0.26	-0.23	-0.17	-0.07	0.05	0.16	0.29	0.34	0.37	0.38	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.40	0.45	0.48	0.49	0.49	0.44	0.40	0.34	0.35	0.33	0.35	0.41	0.51	0.77	1.15	2.32	5.37	17.08	17.08
57	462.50	14.95	14.95	4.15	1.39	0.31	-0.02	-0.18	-0.25	-0.26	-0.22	-0.16	-0.06	0.05	0.16	0.29	0.34	0.37	0.38	0.34	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.40	0.45	0.48	0.49	0.49	0.44	0.40	0.35	0.35	0.33	0.35	0.42	0.52	0.78	1.17	2.34	5.38	17.09	17.09
58	465.00	14.91	14.91	4.13	1.38	0.30	-0.02	-0.18	-0.25	-0.26	-0.22	-0.17	-0.07	0.05	0.16	0.29	0.34	0.36	0.37	0.33	0.28	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.45	0.47	0.49	0.48	0.43	0.40	0.34	0.35	0.33	0.35	0.42	0.52	0.78	1.16	2.33	5.36	17.05	17.05
59	467.50	14.89	14.89	4.13	1.38	0.31	-0.01	-0.18	-0.25	-0.26	-0.22	-0.17	-0.07	0.04	0.15	0.28	0.34	0.36	0.37	0.34	0.27	0.19	0.07	0.00	0.10	0.21	0.31	0.39	0.45	0.47	0.49	0.48	0.43	0.39	0.34	0.35	0.33	0.35	0.42	0.52	0.79	1.17	2.34	5.35	17.04	17.04
60	470.00	14.92	14.92	4.14	1.39	0.32	-0.00	-0.17	-0.24	-0.25	-0.22	-0.16	-0.07	0.05	0.16	0.29	0.34	0.37	0.37	0.34	0.28	0.19	0.08	0.00	0.10	0.21	0.31	0.39	0.45	0.47	0.49	0.48	0.43	0.40	0.34	0.35	0.33	0.36	0.43	0.53	0.80	1.18	2.35	5.37	17.06	17.06
61	472.50	15.01	15.01	4.19	1.43	0.35	0.02	-0.15	-0.22	-0.23	-0.20	-0.15	-0.05	0.06	0.17	0.30	0.35	0.37	0.38	0.34	0.28	0.19	0.08	0.00	0.10	0.22	0.31	0.40	0.46	0.48	0.50	0.50	0.45	0.41	0.36	0.37	0.35	0.38	0.45	0.56	0.83	1.22	2.39	5.42	17.16	17.16
62	475.00	15.13	15.13	4.24	1.48	0.39	0.06	-0.12	-0.19	-0.21	-0.18	-0.13	-0.03	0.07	0.18	0.31	0.36	0.39	0.39	0.35	0.28	0.20	0.08	0.00	0.10	0.22	0.32	0.41	0.47	0.49	0.51	0.51	0.46	0.43	0.37	0.38	0.37	0.40	0.47	0.58	0.85	1.24	2.43	5.47	17.24	17.24
63	477.50	15.15	15.15	4.26	1.49	0.40	0.07	-0.11	-0.19	-0.20	-0.17	-0.12	-0.03	0.08	0.19	0.31	0.36	0.39	0.39	0.35	0.29	0.20	0.08	0.00	0.10	0.22	0.32	0.41	0.47	0.49	0.52	0.51	0.47	0.43	0.38	0.39	0.38	0.41	0.48	0.59	0.87	1.26	2.44	5.48	17.27	17.27
64	480.00	15.12	15.12	4.25	1.49	0.39	0.06	-0.11	-0.19	-0.21	-0.18	-0.13	-0.03	0.08	0.18	0.31	0.36	0.39	0.39	0.35	0.28	0.20	0.08	0.00	0.10	0.22	0.31	0.41	0.47	0.49	0.51	0.51	0.46	0.43	0.37	0.39	0.37	0.41	0.48	0.59	0.86	1.25	2.44	5.47	17.25	17.25
65	482.50	15.07	15.07	4.23	1.47	0.39	0.06	-0.12	-0.20	-0.21	-0.18	-0.13	-0.04	0.07	0.18	0.31	0.36	0.38	0.39	0.35	0.28	0.20	0.08	0.00	0.10	0.22	0.31	0.40	0.46	0.49	0.51	0.51	0.46	0.43	0.37	0.38	0.37	0.40	0.47	0.59	0.86	1.25	2.43	5.45	17.22	17.22
66	485.00	15.15	15.15	4.27	1.51	0.42	0.08	-0.10	-0.18	-0.20	-0.17	-0.12	-0.03	0.08	0.19	0.32	0.36	0.39	0.39	0.35	0.29	0.20	0.08	0.00	0.10	0.22	0.32	0.41	0.47	0.50	0.52	0.51	0.47	0.44	0.38	0.39	0.38	0.42	0.49	0.61	0.88	1.27	2.46	5.48	17.28	17.28
67	487.50	15.19	15.19	4.29	1.53	0.43	0.10	-0.08	-0.16	-0.19	-0.16	-0.11	-0.02	0.09	0.19	0.32	0.36	0.39	0.40	0.35	0.29	0.20	0.08	0.00	0.10	0.22	0.32	0.41	0.47	0.50	0.52	0.52	0.47	0.44	0.39	0.40	0.39	0.43	0.50	0.62	0.90	1.29	2.49	5.51	17.33	17.33
68	490.00	15.19	15.19	4.29	1.53	0.44	0.10	-0.08	-0.16	-0.18	-0.15	-0.11	-0.02	0.09	0.19	0.32	0.36	0.39	0.40	0.35	0.29	0.20	0.08	0.00	0.10	0.22	0.32	0.41	0.47	0.50	0.52	0.52	0.47	0.44	0.39	0.40	0.40	0.43	0.51	0.62	0.90	1.30	2.49	5.51	17.33	17.33
